Date, Open, High, Low, Close
05/29/24, 9.35, 9.35, 9.35, 9.35
05/28/24, 9.39, 9.39, 9.39, 9.39
05/24/24, 9.42, 9.42, 9.42, 9.42
05/23/24, 9.42, 9.42, 9.42, 9.42
05/22/24, 9.45, 9.45, 9.45, 9.45
05/21/24, 9.46, 9.46, 9.46, 9.46
05/20/24, 9.44, 9.44, 9.44, 9.44
05/17/24, 9.45, 9.45, 9.45, 9.45
05/16/24, 9.48, 9.48, 9.48, 9.48
05/15/24, 9.50, 9.50, 9.50, 9.50
05/14/24, 9.44, 9.44, 9.44, 9.44
05/13/24, 9.41, 9.41, 9.41, 9.41
05/10/24, 9.41, 9.41, 9.41, 9.41
05/09/24, 9.43, 9.43, 9.43, 9.43
05/08/24, 9.41, 9.41, 9.41, 9.41
05/07/24, 9.43, 9.43, 9.43, 9.43
05/06/24, 9.41, 9.41, 9.41, 9.41
05/03/24, 9.40, 9.40, 9.40, 9.40
05/02/24, 9.36, 9.36, 9.36, 9.36
05/01/24, 9.32, 9.32, 9.32, 9.32
04/30/24, 9.29, 9.29, 9.29, 9.29
04/29/24, 9.33, 9.33, 9.33, 9.33
04/26/24, 9.30, 9.30, 9.30, 9.30
04/25/24, 9.28, 9.28, 9.28, 9.28
04/24/24, 9.31, 9.31, 9.31, 9.31
04/23/24, 9.33, 9.33, 9.33, 9.33
04/22/24, 9.32, 9.32, 9.32, 9.32
04/19/24, 9.32, 9.32, 9.32, 9.32
04/18/24, 9.31, 9.31, 9.31, 9.31
04/17/24, 9.34, 9.34, 9.34, 9.34
04/16/24, 9.29, 9.29, 9.29, 9.29
04/15/24, 9.32, 9.32, 9.32, 9.32
04/12/24, 9.38, 9.38, 9.38, 9.38
04/11/24, 9.36, 9.36, 9.36, 9.36
04/10/24, 9.37, 9.37, 9.37, 9.37
04/09/24, 9.47, 9.47, 9.47, 9.47
04/08/24, 9.44, 9.44, 9.44, 9.44
04/05/24, 9.45, 9.45, 9.45, 9.45
04/04/24, 9.50, 9.50, 9.50, 9.50
04/03/24, 9.48, 9.48, 9.48, 9.48
04/02/24, 9.47, 9.47, 9.47, 9.47
04/01/24, 9.48, 9.48, 9.48, 9.48
03/28/24, 9.55, 9.55, 9.55, 9.55
03/27/24, 9.56, 9.56, 9.56, 9.56
03/26/24, 9.54, 9.54, 9.54, 9.54
03/25/24, 9.53, 9.53, 9.53, 9.53
03/22/24, 9.54, 9.54, 9.54, 9.54
03/21/24, 9.51, 9.51, 9.51, 9.51
03/20/24, 9.51, 9.51, 9.51, 9.51
03/19/24, 9.49, 9.49, 9.49, 9.49
03/18/24, 9.47, 9.47, 9.47, 9.47
03/15/24, 9.48, 9.48, 9.48, 9.48
03/14/24, 9.49, 9.49, 9.49, 9.49
03/13/24, 9.55, 9.55, 9.55, 9.55
03/12/24, 9.56, 9.56, 9.56, 9.56
03/11/24, 9.59, 9.59, 9.59, 9.59
03/08/24, 9.60, 9.60, 9.60, 9.60
03/07/24, 9.59, 9.59, 9.59, 9.59
03/06/24, 9.58, 9.58, 9.58, 9.58
03/05/24, 9.56, 9.56, 9.56, 9.56
03/04/24, 9.52, 9.52, 9.52, 9.52
03/01/24, 9.53, 9.53, 9.53, 9.53
02/29/24, 9.50, 9.50, 9.50, 9.50
02/28/24, 9.49, 9.49, 9.49, 9.49
02/27/24, 9.46, 9.46, 9.46, 9.46
02/26/24, 9.48, 9.48, 9.48, 9.48
02/23/24, 9.50, 9.50, 9.50, 9.50
02/22/24, 9.46, 9.46, 9.46, 9.46
