Date, Open, High, Low, Close
09/08/23, 107.76, 107.76, 107.76, 107.76
09/07/23, 107.63, 107.63, 107.63, 107.63
09/06/23, 108.01, 108.01, 108.01, 108.01
09/05/23, 108.71, 108.71, 108.71, 108.71
09/01/23, 109.33, 109.33, 109.33, 109.33
08/31/23, 109.00, 109.00, 109.00, 109.00
08/30/23, 109.10, 109.10, 109.10, 109.10
08/29/23, 108.65, 108.65, 108.65, 108.65
08/28/23, 107.07, 107.07, 107.07, 107.07
08/25/23, 106.38, 106.38, 106.38, 106.38
08/24/23, 105.68, 105.68, 105.68, 105.68
08/23/23, 107.12, 107.12, 107.12, 107.12
08/22/23, 105.94, 105.94, 105.94, 105.94
08/21/23, 106.24, 106.24, 106.24, 106.24
08/18/23, 105.60, 105.60, 105.60, 105.60
08/17/23, 105.53, 105.53, 105.53, 105.53
08/16/23, 106.42, 106.42, 106.42, 106.42
08/15/23, 107.24, 107.24, 107.24, 107.24
08/14/23, 108.50, 108.50, 108.50, 108.50
08/11/23, 107.95, 107.95, 107.95, 107.95
08/10/23, 108.05, 108.05, 108.05, 108.05
08/09/23, 108.04, 108.04, 108.04, 108.04
08/08/23, 108.82, 108.82, 108.82, 108.82
08/07/23, 109.34, 109.34, 109.34, 109.34
08/04/23, 108.45, 108.45, 108.45, 108.45
08/03/23, 108.98, 108.98, 108.98, 108.98
08/02/23, 109.26, 109.26, 109.26, 109.26
08/01/23, 110.84, 110.84, 110.84, 110.84
07/31/23, 111.15, 111.15, 111.15, 111.15
07/28/23, 110.85, 110.85, 110.85, 110.85
07/27/23, 109.69, 109.69, 109.69, 109.69
07/26/23, 110.50, 110.50, 110.50, 110.50
07/25/23, 110.43, 110.43, 110.43, 110.43
07/24/23, 110.15, 110.15, 110.15, 110.15
07/21/23, 109.77, 109.77, 109.77, 109.77
07/20/23, 109.77, 109.77, 109.77, 109.77
07/19/23, 110.57, 110.57, 110.57, 110.57
07/18/23, 110.28, 110.28, 110.28, 110.28
07/17/23, 109.45, 109.45, 109.45, 109.45
07/14/23, 108.94, 108.94, 108.94, 108.94
07/13/23, 109.18, 109.18, 109.18, 109.18
07/12/23, 108.21, 108.21, 108.21, 108.21
07/11/23, 107.42, 107.42, 107.42, 107.42
07/10/23, 106.59, 106.59, 106.59, 106.59
07/07/23, 106.15, 106.15, 106.15, 106.15
07/06/23, 106.26, 106.26, 106.26, 106.26
07/05/23, 107.20, 107.20, 107.20, 107.20
07/03/23, 107.50, 107.50, 107.50, 107.50
06/30/23, 107.32, 107.32, 107.32, 107.32
06/29/23, 106.10, 106.10, 106.10, 106.10
06/28/23, 105.57, 105.57, 105.57, 105.57
06/27/23, 105.53, 105.53, 105.53, 105.53
06/26/23, 104.26, 104.26, 104.26, 104.26
06/23/23, 104.62, 104.62, 104.62, 104.62
06/22/23, 105.50, 105.50, 105.50, 105.50
06/21/23, 105.63, 105.63, 105.63, 105.63
06/20/23, 106.18, 106.18, 106.18, 106.18
06/16/23, 106.71, 106.71, 106.71, 106.71
06/15/23, 107.14, 107.14, 107.14, 107.14
06/14/23, 105.84, 105.84, 105.84, 105.84
06/13/23, 105.84, 105.84, 105.84, 105.84
06/12/23, 105.03, 105.03, 105.03, 105.03
06/09/23, 104.09, 104.09, 104.09, 104.09
06/08/23, 104.05, 104.05, 104.05, 104.05
06/07/23, 103.50, 103.50, 103.50, 103.50
06/06/23, 103.74, 103.74, 103.74, 103.74
06/05/23, 103.26, 103.26, 103.26, 103.26
06/02/23, 103.55, 103.55, 103.55, 103.55
06/01/23, 101.84, 101.84, 101.84, 101.84
05/31/23, 100.83, 100.83, 100.83, 100.83
05/30/23, 101.43, 101.43, 101.43, 101.43
05/26/23, 101.41, 101.41, 101.41, 101.41
05/25/23, 100.09, 100.09, 100.09, 100.09
05/24/23, 99.43, 99.43, 99.43, 99.43
05/23/23, 100.18, 100.18, 100.18, 100.18
05/22/23, 101.28, 101.28, 101.28, 101.28
05/19/23, 101.10, 101.10, 101.10, 101.10
05/18/23, 101.32, 101.32, 101.32, 101.32
05/17/23, 100.35, 100.35, 100.35, 100.35
05/16/23, 99.06, 99.06, 99.06, 99.06
05/15/23, 99.83, 99.83, 99.83, 99.83
05/12/23, 99.39, 99.39, 99.39, 99.39
05/11/23, 99.55, 99.55, 99.55, 99.55
05/10/23, 99.77, 99.77, 99.77, 99.77
05/09/23, 99.32, 99.32, 99.32, 99.32
05/08/23, 99.73, 99.73, 99.73, 99.73
05/05/23, 99.66, 99.66, 99.66, 99.66
05/04/23, 97.81, 97.81, 97.81, 97.81
05/03/23, 98.55, 98.55, 98.55, 98.55
05/02/23, 99.13, 99.13, 99.13, 99.13
05/01/23, 100.38, 100.38, 100.38, 100.38
04/28/23, 100.41, 100.41, 100.41, 100.41
04/27/23, 99.57, 99.57, 99.57, 99.57
04/26/23, 97.74, 97.74, 97.74, 97.74
04/25/23, 98.14, 98.14, 98.14, 98.14
04/24/23, 99.83, 99.83, 99.83, 99.83
04/21/23, 99.79, 99.79, 99.79, 99.79
04/20/23, 99.71, 99.71, 99.71, 99.71
04/19/23, 100.31, 100.31, 100.31, 100.31
04/18/23, 100.29, 100.29, 100.29, 100.29
04/17/23, 100.23, 100.23, 100.23, 100.23
04/14/23, 99.82, 99.82, 99.82, 99.82
04/13/23, 100.09, 100.09, 100.09, 100.09
04/12/23, 98.79, 98.79, 98.79, 98.79
04/11/23, 99.24, 99.24, 99.24, 99.24
04/10/23, 99.14, 99.14, 99.14, 99.14
04/06/23, 98.93, 98.93, 98.93, 98.93
04/05/23, 98.58, 98.58, 98.58, 98.58
04/04/23, 98.95, 98.95, 98.95, 98.95
04/03/23, 99.65, 99.65, 99.65, 99.65
03/31/23, 99.37, 99.37, 99.37, 99.37
03/30/23, 97.86, 97.86, 97.86, 97.86
03/29/23, 97.33, 97.33, 97.33, 97.33
03/28/23, 95.96, 95.96, 95.96, 95.96
03/27/23, 96.09, 96.09, 96.09, 96.09
03/24/23, 95.83, 95.83, 95.83, 95.83
03/23/23, 95.30, 95.30, 95.30, 95.30
03/22/23, 95.10, 95.10, 95.10, 95.10
03/21/23, 97.21, 97.21, 97.21, 97.21
03/20/23, 95.85, 95.85, 95.85, 95.85
03/17/23, 95.00, 95.00, 95.00, 95.00
03/16/23, 96.22, 96.22, 96.22, 96.22
03/15/23, 94.56, 94.56, 94.56, 94.56
03/14/23, 95.34, 95.34, 95.34, 95.34
03/13/23, 93.74, 93.74, 93.74, 93.74
03/10/23, 94.04, 94.04, 94.04, 94.04
03/09/23, 95.68, 95.68, 95.68, 95.68
03/08/23, 97.61, 97.61, 97.61, 97.61
03/07/23, 97.49, 97.49, 97.49, 97.49
03/06/23, 98.95, 98.95, 98.95, 98.95
03/03/23, 99.08, 99.08, 99.08, 99.08
03/02/23, 97.51, 97.51, 97.51, 97.51
03/01/23, 96.81, 96.81, 96.81, 96.81
02/28/23, 97.20, 97.20, 97.20, 97.20
02/27/23, 97.44, 97.44, 97.44, 97.44
02/24/23, 97.14, 97.14, 97.14, 97.14
02/23/23, 98.17, 98.17, 98.17, 98.17
02/22/23, 97.67, 97.67, 97.67, 97.67
02/21/23, 97.73, 97.73, 97.73, 97.73
02/17/23, 99.84, 99.84, 99.84, 99.84
02/16/23, 100.12, 100.12, 100.12, 100.12
02/15/23, 101.48, 101.48, 101.48, 101.48
02/14/23, 100.99, 100.99, 100.99, 100.99
02/13/23, 100.93, 100.93, 100.93, 100.93
02/10/23, 99.78, 99.78, 99.78, 99.78
02/09/23, 99.61, 99.61, 99.61, 99.61
02/08/23, 100.56, 100.56, 100.56, 100.56
02/07/23, 101.70, 101.70, 101.70, 101.70
02/06/23, 100.45, 100.45, 100.45, 100.45
02/03/23, 101.16, 101.16, 101.16, 101.16
02/02/23, 102.25, 102.25, 102.25, 102.25
02/01/23, 100.67, 100.67, 100.67, 100.67
01/31/23, 99.52, 99.52, 99.52, 99.52
01/30/23, 97.95, 97.95, 97.95, 97.95
01/27/23, 99.27, 99.27, 99.27, 99.27
